DATE,PCEPILFE
1959-01-01,16.7026666666666667
1959-04-01,16.7923333333333333
1959-07-01,16.9043333333333333
1959-10-01,17.0013333333333333
1960-01-01,17.0550000000000000
1960-04-01,17.1196666666666667
1960-07-01,17.1870000000000000
1960-10-01,17.2430000000000000
1961-01-01,17.2723333333333333
1961-04-01,17.3293333333333333
1961-07-01,17.4046666666666667
1961-10-01,17.4470000000000000
1962-01-01,17.5110000000000000
1962-04-01,17.5783333333333333
1962-07-01,17.6363333333333333
1962-10-01,17.6693333333333333
1963-01-01,17.7280000000000000
1963-04-01,17.7946666666666667
1963-07-01,17.8633333333333333
1963-10-01,17.9496666666666667
1964-01-01,18.0253333333333333
1964-04-01,18.0793333333333333
1964-07-01,18.1296666666666667
1964-10-01,18.1753333333333333
1965-01-01,18.2440000000000000
1965-04-01,18.3010000000000000
1965-07-01,18.3576666666666667
1965-10-01,18.4183333333333333
1966-01-01,18.5110000000000000
1966-04-01,18.6610000000000000
1966-07-01,18.8150000000000000
1966-10-01,18.9780000000000000
1967-01-01,19.0823333333333333
1967-04-01,19.2100000000000000
1967-07-01,19.3846666666666667
1967-10-01,19.5803333333333333
1968-01-01,19.8030000000000000
1968-04-01,20.0336666666666667
1968-07-01,20.2580000000000000
1968-10-01,20.4933333333333333
1969-01-01,20.7173333333333333
1969-04-01,20.9653333333333333
1969-07-01,21.2073333333333333
1969-10-01,21.4563333333333333
1970-01-01,21.6903333333333333
1970-04-01,21.9350000000000000
1970-07-01,22.1796666666666667
1970-10-01,22.4910000000000000
1971-01-01,22.7756666666666667
1971-04-01,23.0356666666666667
1971-07-01,23.2526666666666667
1971-10-01,23.3856666666666667
1972-01-01,23.6096666666666667
1972-04-01,23.7693333333333333
1972-07-01,23.9480000000000000
1972-10-01,24.0983333333333333
1973-01-01,24.2663333333333333
1973-04-01,24.5966666666666667
1973-07-01,24.9240000000000000
1973-10-01,25.2703333333333333
1974-01-01,25.7043333333333333
1974-04-01,26.3433333333333333
1974-07-01,27.0963333333333333
1974-10-01,27.7583333333333333
1975-01-01,28.3010000000000000
1975-04-01,28.7316666666666667
1975-07-01,29.1633333333333333
1975-10-01,29.6380000000000000
1976-01-01,30.0886666666666667
1976-04-01,30.4490000000000000
1976-07-01,30.9263333333333333
1976-10-01,31.4100000000000000
1977-01-01,31.9383333333333333
1977-04-01,32.4270000000000000
1977-07-01,32.9663333333333333
1977-10-01,33.4453333333333333
1978-01-01,33.9670000000000000
1978-04-01,34.5530000000000000
1978-07-01,35.1456666666666667
1978-10-01,35.7770000000000000
1979-01-01,36.2656666666666667
1979-04-01,37.0626666666666667
1979-07-01,37.7470000000000000
1979-10-01,38.5346666666666667
1980-01-01,39.4770000000000000
1980-04-01,40.3600000000000000
1980-07-01,41.2586666666666667
1980-10-01,42.2640000000000000
1981-01-01,43.2013333333333333
1981-04-01,44.0180000000000000
1981-07-01,44.8286666666666667
1981-10-01,45.6256666666666667
1982-01-01,46.2940000000000000
1982-04-01,46.9203333333333333
1982-07-01,47.6723333333333333
1982-10-01,48.3360000000000000
1983-01-01,48.9713333333333333
1983-04-01,49.3460000000000000
1983-07-01,50.0950000000000000
1983-10-01,50.4960000000000000
1984-01-01,51.0066666666666667
1984-04-01,51.6030000000000000
1984-07-01,52.0876666666666667
1984-10-01,52.4583333333333333
1985-01-01,53.1740000000000000
1985-04-01,53.6353333333333333
1985-07-01,54.1863333333333333
1985-10-01,54.5746666666666667
1986-01-01,55.1646666666666667
1986-04-01,55.5423333333333333
1986-07-01,55.9240000000000000
1986-10-01,56.3780000000000000
1987-01-01,56.7323333333333333
1987-04-01,57.2823333333333333
1987-07-01,57.7946666666666667
1987-10-01,58.3823333333333333
1988-01-01,58.9456666666666667
1988-04-01,59.6603333333333333
1988-07-01,60.3473333333333333
1988-10-01,61.0216666666666667
1989-01-01,61.6876666666666667
1989-04-01,62.2486666666666667
1989-07-01,62.7120000000000000
1989-10-01,63.2860000000000000
1990-01-01,64.0150000000000000
1990-04-01,64.7300000000000000
1990-07-01,65.3843333333333333
1990-10-01,65.9333333333333333
1991-01-01,66.5183333333333333
1991-04-01,67.0310000000000000
1991-07-01,67.6346666666666667
1991-10-01,68.1666666666666667
1992-01-01,68.6883333333333333
1992-04-01,69.1736666666666667
1992-07-01,69.5833333333333333
1992-10-01,70.0933333333333333
1993-01-01,70.5760000000000000
1993-04-01,71.1116666666666667
1993-07-01,71.5093333333333333
1993-10-01,71.8773333333333333
1994-01-01,72.2036666666666667
1994-04-01,72.6896666666666667
1994-07-01,73.0956666666666667
1994-10-01,73.4666666666666667
1995-01-01,73.8516666666666667
1995-04-01,74.2900000000000000
1995-07-01,74.6446666666666667
1995-10-01,75.0190000000000000
1996-01-01,75.3133333333333333
1996-04-01,75.6716666666666667
1996-07-01,76.0170000000000000
1996-10-01,76.4496666666666667
1997-01-01,76.7500000000000000
1997-04-01,77.1503333333333333
